boleta,compra_id,tid,rut_user,pid,did,cant
1,36,16,52703981-9,367,588,2
2,70,96,17474518-8,139,68,2
3,104,61,54230570-3,214,224,4
4,177,46,87813399-4,372,123,4
5,216,38,56292778-6,402,43,5
6,127,69,68428477-0,38,76,4
7,304,96,75270010-9,370,36,2
8,55,14,63532763-4,208,964,5
9,186,91,75016224-k,182,201,1
10,104,61,54230570-3,52,224,5
11,302,32,94821886-0,109,240,2
12,178,0,31642814-2,133,1022,5
13,113,19,23748548-3,141,139,5
14,4,70,81492646-k,327,592,1
15,159,68,69141385-3,416,143,3
16,212,4,98683815-5,101,546,5
17,35,61,49604231-k,238,435,2
18,5,10,97996738-1,390,1087,4
19,145,57,90870389-8,313,910,4
20,258,42,65884381-8,343,635,2
21,93,94,77625718-4,111,507,3
22,82,32,79425659-4,204,42,3
23,295,28,82809947-7,183,246,3
24,260,77,59885368-1,316,877,3
25,293,17,91790173-2,362,676,2
26,209,19,73453102-2,284,447,1
27,112,58,86646016-7,6,886,5
28,31,78,53523140-0,320,405,5
29,261,7,55956975-5,412,656,4
30,228,9,48925896-k,236,568,1
31,149,88,26905798-k,26,375,3
32,107,4,63214394-k,332,609,1
33,281,34,66119831-1,402,185,2
34,69,24,77520112-6,132,101,2
35,48,37,31092780-5,96,611,4
36,257,96,73453102-2,363,282,1
37,74,0,57836259-2,417,961,4
38,185,23,38204359-6,360,321,4
39,192,21,87081187-k,347,750,3
40,193,23,11644968-4,196,971,2
41,54,13,17509928-k,245,218,2
42,302,32,94821886-0,251,240,5
43,153,49,53523140-0,319,405,5
44,222,55,77520112-6,337,101,1
45,134,100,81698647-8,195,306,4
46,99,53,86664654-6,109,612,1
47,175,55,49974632-6,296,929,3
48,107,4,63214394-k,403,609,4
49,272,46,49993665-6,332,921,4
50,165,53,78463527-9,147,250,3
51,69,24,77520112-6,84,101,1
52,91,5,61993529-2,357,219,3
53,274,19,92170041-5,12,277,4
54,139,58,40403791-9,95,766,5
55,222,55,77520112-6,101,101,3
56,113,19,23748548-3,363,139,5
57,202,85,56064569-4,304,788,1
58,87,68,87991170-2,120,470,4
59,103,50,44126502-6,165,963,3
60,169,1,48925896-k,377,568,1
61,124,2,48345899-1,193,918,4
62,25,72,74644456-7,356,1012,4
63,317,67,81498697-7,331,84,2
64,194,58,97004364-0,95,970,4
65,28,11,97996738-1,111,1087,2
66,232,25,98708700-5,254,1067,1
67,314,85,11644968-4,185,971,2
68,245,45,87861767-3,405,884,4
69,235,49,59332921-6,338,86,1
70,270,23,63214394-k,202,1008,1
71,324,90,55705480-4,353,466,4
72,222,55,77520112-6,145,101,3
73,214,62,85411178-7,277,735,4
74,58,22,27712443-2,279,997,2
75,224,51,35288330-1,37,0,4
76,70,96,17474518-8,354,68,5
77,46,66,51153844-0,209,197,4
78,62,15,88132030-4,380,474,5
79,266,42,32690774-k,243,745,1
80,198,5,59814228-9,37,397,5
81,245,45,87861767-3,330,884,4
82,260,77,59885368-1,155,877,5
83,211,64,44126502-6,16,762,4
84,25,72,74644456-7,289,1012,2
85,144,36,87649058-7,343,264,1
86,63,74,34424260-7,181,878,3
87,213,35,63532763-4,284,757,2
88,124,2,48345899-1,324,918,5
89,164,70,58945079-5,94,979,2
90,7,45,17474518-8,290,434,3
91,273,35,26905798-k,333,375,2
92,213,35,63532763-4,110,757,4
93,76,0,31642814-2,417,1022,4
94,292,2,96392316-3,376,601,2
95,22,28,47329036-7,183,814,1
96,121,13,81600879-4,90,499,3
97,30,34,55106753-k,118,300,4
98,309,9,40403791-9,214,769,1
99,285,35,95667888-9,234,399,1
100,122,45,42168093-0,405,590,1
101,169,1,48925896-k,243,568,1
102,128,53,24129722-5,158,298,3
103,293,17,91790173-2,68,676,1
104,19,76,40424433-7,129,464,1
105,306,97,20909860-1,82,118,3
106,78,30,62785039-5,241,254,5
107,312,71,46012714-9,314,328,1
108,300,10,94384917-k,89,166,3
109,35,61,49604231-k,357,435,4
110,96,46,75523496-6,401,875,1
111,161,84,55106753-k,411,300,5
112,176,98,42168093-0,81,564,5
113,270,23,63214394-k,331,1008,1
114,266,42,32690774-k,1,745,1
115,161,84,55106753-k,369,300,2
116,44,33,95598580-k,412,1091,1
117,233,33,65238271-1,0,13,5
118,143,45,57836259-2,290,1085,1
119,236,77,79480331-5,187,368,5
120,24,88,69140468-4,278,209,4
121,259,45,75523496-6,241,433,5
122,222,55,77520112-6,158,101,1
123,190,70,88806288-2,345,137,4
124,8,101,64370666-0,343,413,2
125,47,1,94384917-k,56,575,3
126,13,19,48795285-0,352,713,2
127,4,70,81492646-k,66,592,4
128,11,26,61993529-2,192,820,2
129,169,1,48925896-k,278,568,3
130,235,49,59332921-6,52,86,3
131,175,55,49974632-6,170,929,2
132,31,78,53523140-0,230,405,5
133,321,47,32366948-1,349,570,1
134,225,19,59814228-9,363,397,5
135,99,53,86664654-6,151,612,2
136,91,5,61993529-2,175,219,5
137,322,33,89336201-0,65,646,4
138,49,33,91119340-k,305,851,2
139,306,97,20909860-1,192,118,2
140,185,23,38204359-6,24,321,2
141,321,47,32366948-1,214,570,5
142,198,5,59814228-9,62,397,5
143,234,76,58945079-5,169,179,4
144,102,32,48345899-1,91,353,3
145,131,34,69698793-9,52,113,5
146,20,84,83603309-4,379,849,1
147,171,89,49337371-4,394,874,1
148,144,36,87649058-7,208,264,1
149,3,14,75016224-k,208,201,4
150,143,45,57836259-2,241,1085,1
151,60,17,45276568-3,164,48,3
152,308,85,96557795-5,75,1089,3
153,310,30,87544765-3,105,173,2
154,270,23,63214394-k,204,1008,4
155,159,68,69141385-3,120,143,2
156,184,93,92170041-5,185,649,4
157,189,23,75153238-5,306,847,3
158,227,17,91790173-2,326,563,4
159,291,36,66646618-7,153,355,3
160,203,2,56790702-3,136,245,1
161,81,11,87813399-4,101,338,2
162,27,71,87544765-3,340,173,4
163,127,69,68428477-0,169,76,1
164,296,16,75039658-5,367,267,3
165,71,13,94384917-k,239,575,4
