pe_id,rut,nombre,edad,sexo
0,46251263-5,Catalina Luna,90,mujer
1,92310665-0,Sergio Galaz,47,hombre
2,77837095-6,Catalina Patino,55,mujer
3,66922079-0,Nicolas Henriquez,70,mujer
4,79464991-k,Magdalena Santibanez,74,hombre
5,22997103-4,Lisandro Pinto,42,mujer
6,61890115-7,Leonardo Bucarei,42,hombre
7,45347413-5,Sofia Pena,29,hombre
8,54864080-6,Valentina Gutierrez,75,hombre
9,86447590-6,Simoney Mora,26,hombre
10,45355149-0,Martin Bustos,54,hombre
11,19942007-0,Diego Caniullan,89,hombre
12,79263691-8,Yanara Carrasco,39,mujer
13,32165632-3,Karla Castillo,38,mujer
14,66760004-9,Yaimara Cisternas,83,hombre
15,49326776-0,Pamela Figueroa,91,mujer
16,97804380-1,Aritza Flores,67,mujer
17,83399209-0,Giordano Flores,20,hombre
18,86260284-6,Danae Gamboa,95,mujer
19,19209075-k,Diego Guajardo,74,mujer
20,31653150-4,Bayron Guzman,84,mujer
21,64100872-9,Gabriela Jimenez,26,hombre
22,72629258-2,Orlando Moraga,56,hombre
23,17263415-k,Matias Moreno,13,mujer
24,18208603-7,Matias Painequeo,85,mujer
25,90414316-2,Sayenn Pavez,26,mujer
26,16045471-7,Gonzalo Pino,88,mujer
27,28792266-3,Benjamin Quilacan,37,hombre
28,68353685-7,Millaray Ramos,56,hombre
29,99428020-1,Aaron Roa,83,mujer
30,24840265-2,Martin Rojas,66,hombre
31,79850677-3,Yael Salcedo,81,hombre
32,95741388-9,Caceres San,57,mujer
33,77210598-3,Lucas Santibanez,63,hombre
34,96187015-1,Luis Torres,57,mujer
35,68120110-6,Zithlali Ulloa,28,hombre
36,56619171-7,Javiera Vasquez,66,hombre
37,51616764-5,Jorge Zumelzu,15,mujer
38,60916764-5,Alan Aceiton,97,hombre
39,81252987-0,Paz Aguayo,41,mujer
40,59192155-k,Flores Al,67,hombre
41,41391265-2,Lucas Araya,81,hombre
42,76041278-3,Daniela Arriagada,75,mujer
43,78158392-8,Benjamin Barria,43,mujer
44,49995619-3,Franco Benavides,97,mujer
45,37156185-4,Genesis Cardenas,59,mujer
46,85410626-0,Sergio Cardenas,24,hombre
47,10116173-0,Antonio Carrasco,72,hombre
48,88757035-3,Ian Carrera,30,mujer
49,68583239-9,Barbara Carvajal,42,hombre
50,35492826-4,Ignacio Castillo,59,hombre
51,86683089-4,Alondra Chamorro,91,mujer
52,28320055-8,Francisca Colima,67,hombre
