tid,rut_jefe,did,nombre
25,72159761-k,272,Steak Almacen
85,90966759-3,1061,Almacen Almeja
48,79459402-3,291,Almacen Petalos
20,45008209-0,523,Familiares Almacen
81,21188032-5,866,Propiedades Almacen
72,55514185-8,156,Algortimos Almacen
97,45510769-5,225,Luz Almacen
84,73540572-1,711,Almacen Hada
33,36669949-k,208,Almacen Fluido
30,42216276-3,819,Almacen Autor
83,14106853-9,613,Fuera del atico
7,33491402-k,150,Couture Almacen
76,17677635-8,539,Almacen Colmena
50,42644643-k,257,Fuera del cofre
67,55676647-9,241,Almacen Incidente
57,16792411-5,969,Luz Almacen
19,10094201-1,324,Buqui Almacen
14,91844038-0,377,Calle Antigua
72,55514185-8,156,Algortimos Almacen
59,34761062-3,494,Almacen Madera
58,21332506-k,1084,La Casa de la Abuela Antiguedades
22,72800848-2,648,Almacen Andares
27,25844754-9,841,Almacen Incidente
100,51844875-7,170,Casa Antigua
99,10119008-0,787,El cofre del tesoro
10,90922919-7,97,Almacen Caninos
81,21188032-5,866,Propiedades Almacen
94,19706256-8,858,Steak Almacen
71,48246125-5,158,Couture Almacen
24,11439340-1,283,Almacen Centrales
66,28450511-5,1055,Almacen Estilo
86,21219682-7,400,Almacen Intensas
32,73324033-4,777,Paw Almacen
48,79459402-3,291,Almacen Petalos
101,30492842-5,194,Almacen Fluido
93,85384785-2,772,Almacen Cambio
71,48246125-5,158,Couture Almacen
47,38628283-8,286,Almacen Camino
45,31111145-0,532,Familiares Almacen
69,48986292-1,93,Almacen Recreativas
63,85779616-0,285,Almacen Caninos
88,53644614-1,1064,Backup Almacen
45,31111145-0,532,Familiares Almacen
59,34761062-3,494,Almacen Madera
101,30492842-5,194,Almacen Fluido
72,55514185-8,156,Algortimos Almacen
13,96900689-8,387,Almacen Fluido
88,53644614-1,1064,Backup Almacen
79,12842111-4,542,Almacen Ecuacion
88,53644614-1,1064,Backup Almacen
69,48986292-1,93,Almacen Recreativas
37,10742402-4,835,Sustentables Almacen
32,73324033-4,777,Paw Almacen
91,53642790-2,141,Fuera del atico
23,57689116-4,957,Almacen Almeja
35,44281327-2,567,Almacen Cuspides
9,69768825-0,229,Almacen Idea
21,73031326-8,823,Almacen Afinidad
62,68133700-8,773,Oda Almacen
79,12842111-4,542,Almacen Ecuacion
11,95541523-k,1053,Steak Almacen
52,16413527-6,618,Almacen Petalos
10,90922919-7,97,Almacen Caninos
4,90155266-5,429,Fuera del atico
35,44281327-2,567,Almacen Cuspides
46,22234852-8,528,Almacen Fortaleza
65,95810168-6,1088,El cofre del tesoro
62,68133700-8,773,Oda Almacen
31,66227912-9,372,Almacen Colmena
74,17327495-5,1011,Almacen Hada
28,39089742-1,1094,Almacen Madera
16,43926456-k,838,Fuera del cofre
16,43926456-k,838,Fuera del cofre
